"rn"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hgnc_symbol"
"1"	"ENSG00000001617"	1050.88936789524	-0.726284438023299	0.175815483812704	-4.13094695798811	3.61271941421838e-05	0.00792765672676963	"SEMA3F"
"2"	"ENSG00000002549"	2797.6052598422	0.419053932668845	0.155197947023185	2.70012548945795	0.00693133261419871	0.178661489364352	"LAP3"
"3"	"ENSG00000003137"	106.435619941918	-0.622274156133317	0.245722378994694	-2.53242768802411	0.0113275731480029	0.227524926277464	"CYP26B1"
"4"	"ENSG00000005020"	931.779421037156	-0.51630606888295	0.217060989274833	-2.37862211265068	0.017377480156206	0.281862420439234	"SKAP2"
"5"	"ENSG00000005486"	381.389308175636	-0.900455735990421	0.204029982487102	-4.41335006264261	1.01783217637666e-05	0.0031152934826957	"RHBDD2"
"6"	"ENSG00000005884"	12374.4313610503	-0.6673819164318	0.215134640431672	-3.10215925753605	0.00192114574154051	0.086049925113252	"ITGA3"
"7"	"ENSG00000006712"	1437.3235774315	-0.51284026561053	0.196913872844676	-2.60438870152665	0.00920383085697223	0.205765644637179	"PAF1"
"8"	"ENSG00000006715"	1166.58780914919	-1.13657142918967	0.212272561986644	-5.35430212248148	8.5887252024584e-08	0.000138010078097003	"VPS41"
"9"	"ENSG00000007047"	281.21102766246	-0.761408933330459	0.195859319006827	-3.88752976979317	0.000101269570640678	0.0154256615502408	"MARK4"
"10"	"ENSG00000007255"	224.386924433112	-0.682742366270126	0.257519721880699	-2.65122360836666	0.008020072463172	0.193777966529295	"TRAPPC6A"
"11"	"ENSG00000010292"	3529.36910187095	-0.602156799222838	0.235521590314515	-2.55669468951325	0.0105671919410645	0.219028565594585	"NCAPD2"
"12"	"ENSG00000011007"	1590.41845646026	-0.656634628873531	0.258103308017967	-2.54407676490462	0.0109567002329907	0.223568859516025	"ELOA"
"13"	"ENSG00000011198"	1601.27950493896	0.421713662606019	0.169734161816344	2.48455383461535	0.0129713893581717	0.24236513110363	"ABHD5"
"14"	"ENSG00000011275"	839.955453814942	-0.45606566206041	0.17679073294728	-2.57969212784706	0.00988884330399343	0.213226074755814	"RNF216"
"15"	"ENSG00000011304"	4343.09696323827	-0.636007299095882	0.23683183999129	-2.68548054653155	0.00724255907739045	0.181841986210653	"PTBP1"
"16"	"ENSG00000011451"	260.785989299286	-0.730556217061785	0.232080352614689	-3.14785895846466	0.00164471030247485	0.0787593357806763	"WIZ"
"17"	"ENSG00000011566"	1675.3331574232	0.528730515607797	0.169504454795226	3.11927209374256	0.00181298455049818	0.0837438442133992	"MAP4K3"
"18"	"ENSG00000012232"	1598.47085622575	-0.543731134358143	0.20414565923936	-2.66344695441513	0.00773446053482489	0.189383790809855	"EXTL3"
"19"	"ENSG00000013288"	560.50216265719	-0.6465964913565	0.216910406996007	-2.98093807628327	0.00287366894444335	0.107699750089852	"MAN2B2"
"20"	"ENSG00000015133"	423.547349503488	-0.462877293534398	0.195213400441787	-2.3711348323776	0.0177335605398474	0.284546088998176	"CCDC88C"
"21"	"ENSG00000015532"	500.453112350434	-0.564580362339928	0.173144335131633	-3.26074983574084	0.00111118028185489	0.0646344910554058	"XYLT2"
"22"	"ENSG00000020129"	281.926113956206	-0.504828979254504	0.21526008173837	-2.34520481074647	0.0190166302219398	0.292834857638516	"NCDN"
"23"	"ENSG00000023445"	5313.53705466584	0.871578576260752	0.215575168990981	4.04303788947611	5.27630902516482e-05	0.0096895646454991	"BIRC3"
"24"	"ENSG00000024422"	576.339656388727	-0.644608374288661	0.19023662875114	-3.38845562245488	0.000702874016440914	0.0493740190237593	"EHD2"
"25"	"ENSG00000030582"	976.629744859757	-0.954947658103798	0.221211437179817	-4.31690002234174	1.58235785032979e-05	0.00442200220999772	"GRN"
"26"	"ENSG00000035862"	495.671621992617	-0.811338365581917	0.195036008455457	-4.15994139752513	3.18329261205225e-05	0.00744022300507847	"TIMP2"
"27"	"ENSG00000038382"	2609.0380234444	-0.51124487984559	0.189422282621737	-2.6989690588119	0.00695546427648653	0.178824986548469	"TRIO"
"28"	"ENSG00000039139"	64.5197349370386	0.694200190753798	0.283253449393967	2.45080930960971	0.0142535441630542	0.254839096267123	"DNAH5"
"29"	"ENSG00000047578"	421.171264558168	-0.498231619597477	0.202107092661347	-2.46518621903249	0.0136942059909995	0.24945391186969	"KIAA0556"
"30"	"ENSG00000047849"	2240.32175854515	-0.620275747268152	0.199147567980782	-3.11465388986326	0.00184160863228486	0.0842486796015014	"MAP4"
"31"	"ENSG00000048471"	365.647979902999	-0.573310085930084	0.222869146288002	-2.57240670356957	0.0100994172275836	0.215034729619045	"SNX29"
"32"	"ENSG00000048828"	4773.88393934773	-0.512699197210687	0.206140573283633	-2.48713384776152	0.012877693868166	0.2416682550004	"FAM120A"
"33"	"ENSG00000049323"	925.545286237201	-0.917640712020658	0.25870070955368	-3.54711323986627	0.000389477144299344	0.0338292479051896	"LTBP1"
"34"	"ENSG00000049618"	704.593183947485	-0.58173600633781	0.212919563690468	-2.73218672936748	0.00629154717982972	0.170941739534447	"ARID1B"
"35"	"ENSG00000050130"	2108.28942351031	0.405114070428756	0.152622432239059	2.65435470058692	0.00794602523269553	0.193458625693752	"JKAMP"
"36"	"ENSG00000052344"	365.362694604721	-0.648119358454599	0.21004459929407	-3.08562734120675	0.00203123225049473	0.0888145938098969	"PRSS8"
"37"	"ENSG00000052802"	15119.8442142493	0.436417855396419	0.162504927260401	2.68556691020879	0.00724068754606462	0.181841986210653	"MSMO1"
"38"	"ENSG00000053254"	353.300017992755	-0.850149259515213	0.231139068818811	-3.67808550869279	0.000234991185901811	0.0256316313429762	"FOXN3"
"39"	"ENSG00000054611"	425.711457020869	-0.72746227704965	0.199916023805748	-3.63883926461293	0.000273869661342878	0.0272113036997036	"TBC1D22A"
"40"	"ENSG00000054965"	497.452551449363	-0.48684385742607	0.184928734938979	-2.63260254057712	0.00847334410023752	0.196889637350261	"FAM168A"
"41"	"ENSG00000055070"	1494.54889980064	-0.580974628228233	0.220178263490015	-2.63865569207098	0.00832354701249354	0.196126167694634	"SZRD1"
"42"	"ENSG00000058453"	192.217433802244	-0.66766516710184	0.255060414624936	-2.61767459322779	0.00885311853987392	0.202482985448505	"CROCC"
