"rn"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hgnc_symbol"
"1"	"ENSG00000000419"	645.9747746772	-0.165368342989315	0.073909962932661	-2.2374296566754	0.0252582720420176	0.121292974565218	"DPM1"
"2"	"ENSG00000000971"	4899.9867901654	-0.176867182628783	0.0412981590368646	-4.28268927123128	1.84647947405309e-05	0.000271253791123799	"CFH"
"3"	"ENSG00000001036"	1109.06192835111	0.151472094030969	0.063739136468398	2.37643781236462	0.0174807077327594	0.092173457755677	"FUCA2"
"4"	"ENSG00000001167"	443.603485244725	0.176508201117027	0.0862215738624279	2.04714659232106	0.0406436934491041	0.171798449628788	"NFYA"
"5"	"ENSG00000001497"	338.39233140865	0.252074492724489	0.0944626955478849	2.66850835943706	0.00761888825553933	0.0483012767272289	"LAS1L"
"6"	"ENSG00000001629"	2187.20935319811	-0.118190694866297	0.052076642034048	-2.26955291758296	0.0232347230545782	0.114662209007502	"ANKIB1"
"7"	"ENSG00000002549"	1206.20070061904	0.108041242991514	0.0631418045995292	1.7110889319169	0.0870646970454989	0.286966921842124	"LAP3"
"8"	"ENSG00000002586"	6174.82043805012	-0.137649705130588	0.0479450302547307	-2.87099005672244	0.00409188395873553	0.0296704549590082	"CD99"
"9"	"ENSG00000002834"	4718.49261593502	-0.171415004436749	0.0420169039886714	-4.07966766144802	4.51001318579525e-05	0.000613092538749599	"LASP1"
"10"	"ENSG00000002919"	413.198800728864	-0.186921519581013	0.0884549646597749	-2.11318290951752	0.0345851155087043	0.152934468610165	"SNX11"
"11"	"ENSG00000003249"	65.9648104111926	-0.279712510852076	0.158220462421277	-1.76786558812674	0.0770833768762524	0.264934111920342	"DBNDD1"
"12"	"ENSG00000003436"	1420.18239445811	0.253690343384181	0.0592104404485844	4.28455423506727	1.83105939296733e-05	0.000269278077790308	"TFPI"
"13"	"ENSG00000003989"	1405.37571900631	-0.286969270723845	0.059312541708007	-4.83825616741536	1.30983255655224e-06	2.48540727605788e-05	"SLC7A2"
"14"	"ENSG00000004059"	573.117350268273	-0.142484151137707	0.078057372768999	-1.82537723322268	0.0679441224998013	0.243173982001741	"ARF5"
"15"	"ENSG00000004399"	2687.38747093181	0.213110682502642	0.0486448308317869	4.38095227917588	1.18161750524604e-05	0.000182822857946448	"PLXND1"
"16"	"ENSG00000004455"	1357.30013600105	-0.347208642276032	0.0652431786260342	-5.3217615939007	1.02767196501624e-07	2.38776435136936e-06	"AK2"
"17"	"ENSG00000004534"	1011.01419628917	0.123717056439313	0.0657451346612418	1.8817674809973	0.0598675929021877	0.225400690888714	"RBM6"
"18"	"ENSG00000004700"	961.174427977865	0.160573469138818	0.0636039784344304	2.52458215808551	0.0115835925218016	0.0673999322967859	"RECQL"
"19"	"ENSG00000004776"	150.484271286442	-0.369351362048343	0.127129130699899	-2.90532437384657	0.00366872674134468	0.0271517577141122	"HSPB6"
"20"	"ENSG00000004961"	412.3624752185	-0.164305000923028	0.0870105428260841	-1.88833439703324	0.058981072344952	0.223012660719522	"HCCS"
"21"	"ENSG00000004975"	296.275110295088	0.224059332985285	0.103294693671763	2.16912723220104	0.0300730257396761	0.138429136676366	"DVL2"
"22"	"ENSG00000005020"	169.363600008183	0.263106924871644	0.124563163780463	2.11223701202193	0.0346661254026655	0.153172252668569	"SKAP2"
"23"	"ENSG00000005022"	953.361402342685	0.141022704186371	0.0655840021937864	2.15026072623138	0.0315345970951056	0.142988936446509	"SLC25A5"
"24"	"ENSG00000005100"	344.458145842164	0.188744089722235	0.0949156228065784	1.9885460806264	0.0467513279302099	0.189193318182028	"DHX33"
"25"	"ENSG00000005302"	503.463218826061	0.156618485237123	0.0809744835197956	1.93417084529888	0.0530921257175914	0.207819967307959	"MSL3"
"26"	"ENSG00000005448"	213.360258599954	-0.236582979344973	0.11958436511574	-1.97837718263583	0.0478861718347974	0.192248274935939	"WDR54"
"27"	"ENSG00000005483"	1272.86080237508	-0.112860586244048	0.0593700223030632	-1.90096924114217	0.0573060416041009	0.21863031007965	"KMT2E"
"28"	"ENSG00000005700"	2208.89656996074	-0.0956213532889331	0.0520125343173277	-1.83842903530808	0.0659992099057915	0.23917273361616	"IBTK"
"29"	"ENSG00000005801"	142.000415285874	0.250463668934082	0.128612279956926	1.94743199496943	0.0514829653585017	0.203283315817298	"ZNF195"
"30"	"ENSG00000005810"	1445.3209158122	0.140324314818173	0.060467272338482	2.32066553345865	0.0203049022901737	0.103936146529919	"MYCBP2"
"31"	"ENSG00000005812"	856.111146705697	-0.19080968019812	0.0681376727499353	-2.80035511189808	0.00510464171286276	0.0351864859137896	"FBXL3"
"32"	"ENSG00000005884"	2005.92037770704	0.133870855933106	0.0569560088838146	2.35042550481708	0.0187519608484355	0.0974103760879564	"ITGA3"
"33"	"ENSG00000005889"	577.860456567431	-0.245019959452284	0.081397776070834	-3.01015545239298	0.00261114011688419	0.020608547820261	"ZFX"
"34"	"ENSG00000005893"	5519.22002048282	-0.119241528604131	0.0400201156170426	-2.97953983304716	0.00288681693677105	0.0223075186595962	"LAMP2"
"35"	"ENSG00000006118"	4884.47406838373	0.247222652043584	0.104811852922317	2.3587279983192	0.0183376912236372	0.0955490226915836	"TMEM132A"
"36"	"ENSG00000006451"	5449.46974586684	0.198899576313089	0.0914369161369024	2.17526557889692	0.0296102203735599	0.136621016799586	"RALA"
"37"	"ENSG00000006453"	54.9163886989303	-0.317972848731781	0.162862607022665	-1.95239935393844	0.0508908096965318	0.201318557577662	"BAIAP2L1"
