"rn"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hgnc_symbol"
"1"	"ENSG00000000419"	264.511776768581	0.592355501902318	0.178134530577084	3.32532665050019	0.000883149995774147	0.00666561604926811	"DPM1"
"2"	"ENSG00000001036"	800.360583831724	-0.485550893033295	0.116554721703526	-4.16586205978309	3.10178219141803e-05	0.000384973186128089	"FUCA2"
"3"	"ENSG00000001084"	1233.96700538381	-0.602313715864914	0.106898384178763	-5.63445107699366	1.7561680494633e-08	5.24786812095015e-07	"GCLC"
"4"	"ENSG00000001167"	331.94270454812	0.284200224101393	0.155320251358753	1.82976927744572	0.0672844466494901	0.196861115214674	"NFYA"
"5"	"ENSG00000001460"	1340.21977049272	-0.181065523206632	0.10117399266493	-1.78964493183826	0.0735110103747134	0.209634382789284	"STPG1"
"6"	"ENSG00000001629"	81.6206243781769	0.557656225241831	0.258145950877917	2.16023618943208	0.0307543899305293	0.110792267396451	"ANKIB1"
"7"	"ENSG00000001630"	463.555819661594	-0.277406162164205	0.142726264659867	-1.94362378098591	0.0519408359241091	0.163476558260369	"CYP51A1"
"8"	"ENSG00000002746"	1699.48028785051	-0.492428874130588	0.0991129413512634	-4.96836101741128	6.75211680165756e-07	1.32919632646848e-05	"HECW1"
"9"	"ENSG00000002933"	1975.01253131348	-1.18500645348349	0.10329929842567	-11.4715827846224	1.83275996451109e-30	2.07618381070661e-27	"TMEM176A"
"10"	"ENSG00000003509"	85.5794990970016	0.764091833162426	0.255655561218644	2.98875498549766	0.00280116660046082	0.0170215664610987	"NDUFAF7"
"11"	"ENSG00000003987"	143.8182447269	0.366210645277391	0.209897555895537	1.74471133651337	0.0810351289672572	0.224004954856854	"MTMR7"
"12"	"ENSG00000004059"	413.030487558799	-0.560126975813364	0.146387343260447	-3.82633473179991	0.000130065401364639	0.00133066089195793	"ARF5"
"13"	"ENSG00000004139"	439.367540664367	0.226155459078062	0.141465297796666	1.59866386032796	0.109895311829706	0.275257383057279	"SARM1"
"14"	"ENSG00000004846"	892.57915347737	-0.67401446834558	0.117954313355987	-5.71419941474625	1.10221686632776e-08	3.49484080694918e-07	"ABCB5"
"15"	"ENSG00000004975"	555.991943734197	-0.353113530287562	0.130636529208666	-2.7030229019904	0.00687120118396098	0.035090999161204	"DVL2"
"16"	"ENSG00000005059"	1081.31885855581	-0.251853340324814	0.106527636438346	-2.36420659225435	0.0180687334899693	0.0744558492124693	"MCUB"
"17"	"ENSG00000005108"	1186.90471759307	0.291658115249337	0.103150791515941	2.82749275078771	0.00469140776028029	0.0259754960846564	"THSD7A"
"18"	"ENSG00000005206"	607.558140683273	-1.09886838494571	0.140142952747038	-7.84105346295364	4.46782153356264e-15	4.83543065021222e-13	"SPPL2B"
"19"	"ENSG00000005243"	23.1729785081656	-0.590038794323793	0.298323749194811	-1.97784720766058	0.0479459460594444	0.153784925057075	"COPZ2"
"20"	"ENSG00000005381"	873.388862526799	-0.67963089066198	0.130052660068423	-5.22581306913994	1.73391467394993e-07	4.06898507572318e-06	"MPO"
"21"	"ENSG00000005436"	433.880395411118	-0.505049002892753	0.148140361365587	-3.40925996289676	0.00065139374227453	0.00520989564986067	"GCFC2"
"22"	"ENSG00000005469"	2704.72363921747	-0.390987677559578	0.0959167416793226	-4.07632359809264	4.57533355092345e-05	0.000540409776095329	"CROT"
"23"	"ENSG00000005471"	574.707020246769	-0.350401112635751	0.151435052511529	-2.31387057900002	0.0206748223974381	0.0822832839011423	"ABCB4"
"24"	"ENSG00000005483"	1969.18485719549	0.213421627199726	0.0960844183855692	2.22118872951184	0.0263381812394707	0.0987067899022692	"KMT2E"
"25"	"ENSG00000005700"	379.25414093571	-0.476083766997695	0.152783458192357	-3.11606879848405	0.0018327950722356	0.0120817209922248	"IBTK"
"26"	"ENSG00000005884"	1178.31764773332	-0.995723304962427	0.117079049858385	-8.5047094776292	1.8205090170615e-17	2.73317624838594e-15	"ITGA3"
"27"	"ENSG00000005889"	2951.97751285151	-0.331113648338836	0.0868667436579286	-3.81174238144259	0.000137990653610829	0.00140138674380158	"ZFX"
"28"	"ENSG00000006015"	383.043035247656	-0.239179325584609	0.149813672687923	-1.59651199582326	0.110374529686412	0.276180123377987	"REX1BD"
"29"	"ENSG00000006047"	573.386150747657	-0.35101220035951	0.129809129815434	-2.70406404278796	0.00684970860758972	0.0350386777336517	"YBX2"
"30"	"ENSG00000006059"	301.024062438838	0.365483396522085	0.160922889547559	2.27117097853299	0.0231366295472792	0.0893139841352682	"KRT33A"
"31"	"ENSG00000006125"	1079.61880428421	-0.273361665405587	0.105997087927286	-2.57895448592995	0.00990998427506113	0.0465116060457765	"AP2B1"
"32"	"ENSG00000006282"	995.191844329909	0.428250164257922	0.114508894514127	3.73988558770942	0.000184104034284302	0.00178530768188069	"SPATA20"
"33"	"ENSG00000006327"	653.992098660478	0.451481237092238	0.12846380422994	3.51446261301838	0.000440644694313363	0.00375572745269413	"TNFRSF12A"
"34"	"ENSG00000006432"	257.327750906852	-0.518951943609828	0.170912194295785	-3.0363658119778	0.00239448663419144	0.0149862872670314	"MAP3K9"
"35"	"ENSG00000006451"	65.1190133956905	-0.740167558654501	0.261433524798203	-2.83118838422053	0.00463753980072715	0.0257670224693789	"RALA"
"36"	"ENSG00000006534"	1145.55475775362	-0.313857474423054	0.110135647357218	-2.8497355938271	0.00437555868337027	0.0246268458687791	"ALDH3B1"
"37"	"ENSG00000006607"	953.92289528648	0.187282580871237	0.112509103340862	1.66459935516363	0.095992714104856	0.251506562334022	"FARP2"
