"rn"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hgnc_symbol"
"1"	"ENSG00000000005"	122.353404704224	4.01783586626891	0.416313540739893	9.65098531056235	4.86856666016498e-22	2.59124804754136e-20	"TNMD"
"2"	"ENSG00000000460"	513.990894460826	0.50263416488658	0.174190007088077	2.8855510903816	0.00390729037498041	0.0144868702901824	"C1orf112"
"3"	"ENSG00000001460"	344.675003436757	-1.12736903490733	0.231596472671854	-4.86781608502599	1.12838265515588e-06	1.04022070284551e-05	"STPG1"
"4"	"ENSG00000001461"	354.138667730935	0.492027028179283	0.216716303390138	2.27037385043212	0.0231849096958212	0.0649924398477014	"NIPAL3"
"5"	"ENSG00000001497"	1847.00988537739	0.223611380435785	0.129722202279586	1.72377107778238	0.0847491777768984	0.18683951823155	"LAS1L"
"6"	"ENSG00000001561"	222.620561632525	-1.05473705406356	0.241790587257824	-4.36219236664859	1.28765573214892e-05	9.25591648053911e-05	"ENPP4"
"7"	"ENSG00000001617"	1306.29879761625	-0.57832560508189	0.407381613174162	-1.41961636553942	0.155719398310202	0.298505597233098	"SEMA3F"
"8"	"ENSG00000001626"	9.82068357899484	-0.904766134145829	0.637632023590063	-1.41894713670703	0.155914428501705	0.29873247439886	"CFTR"
"9"	"ENSG00000002016"	257.825476652589	-0.348321394072569	0.220258767518412	-1.58141897367809	0.113782271992206	0.235620140151821	"RAD52"
"10"	"ENSG00000002330"	287.802863326608	-0.983209262134896	0.223076195251041	-4.40750417599884	1.04568585306108e-05	7.70130828643847e-05	"BAD"
"11"	"ENSG00000002549"	1008.55447954242	0.786280249858489	0.167059326537507	4.70659295805289	2.51891150972988e-06	2.14459773643086e-05	"LAP3"
"12"	"ENSG00000002586"	3915.78282875211	-0.208183871727842	0.134745405567361	-1.54501647645246	0.12234227805485	0.248797116244752	"CD99"
"13"	"ENSG00000002587"	120.868948099834	0.658373741392473	0.311440945711105	2.11396012778353	0.034518672958209	0.0903431075138939	"HS3ST1"
"14"	"ENSG00000003096"	137.119138282782	-0.819770154192915	0.334963607555508	-2.4473409519781	0.0143914626877754	0.043797171247909	"KLHL13"
"15"	"ENSG00000003147"	238.54099590544	-1.5536013033811	0.24314819172035	-6.38952439822349	1.66402487290512e-10	2.96570947156375e-09	"ICA1"
"16"	"ENSG00000003249"	1264.47741519497	-0.443370407206803	0.160892337606307	-2.75569622396624	0.00585673627716018	0.02045709569286	"DBNDD1"
"17"	"ENSG00000003393"	2356.03441162816	-0.226097544023977	0.132967205698481	-1.70040080812618	0.0890555599291449	0.194332060873725	"ALS2"
"18"	"ENSG00000003400"	239.781367270105	-1.64927709034786	0.331251566962377	-4.97892615413706	6.39380304135412e-07	6.19966566677841e-06	"CASP10"
"19"	"ENSG00000003402"	2341.4244713337	-1.97907676850629	0.202643588008545	-9.76629355981813	1.5709428157981e-22	8.66911219596231e-21	"CFLAR"
"20"	"ENSG00000003436"	266.677906973083	2.95256199295415	0.283591838881688	10.411308042563	2.20175343138132e-25	1.5428113972413e-23	"TFPI"
"21"	"ENSG00000003756"	1766.35993567243	-0.320699906032342	0.127907590820218	-2.50727813709746	0.0121664933519187	0.0378176624374303	"RBM5"
"22"	"ENSG00000003989"	747.322526018889	-1.4805594241514	0.165311192858993	-8.95619587848649	3.36072716052568e-19	1.45482144637867e-17	"SLC7A2"
"23"	"ENSG00000004059"	1757.80490926918	-1.23254569554523	0.136176217937861	-9.05110829342945	1.41524508265686e-19	6.25146807486523e-18	"ARF5"
"24"	"ENSG00000004139"	18.0456885973087	1.28138875732975	0.594209911960979	2.15645806563707	0.0310479148313574	0.0827944395502864	"SARM1"
"25"	"ENSG00000004142"	1952.92052258381	0.261063225197697	0.126762611698998	2.05946549774155	0.0394496669194359	0.100823866647942	"POLDIP2"
"26"	"ENSG00000004399"	2712.33206001092	0.612713218330338	0.120151808368342	5.099492272742	3.40565772007848e-07	3.49169538879625e-06	"PLXND1"
"27"	"ENSG00000004534"	2655.10274888167	-0.554080764215869	0.131836980973212	-4.20277193944887	2.63666200275645e-05	0.000176320548622367	"RBM6"
"28"	"ENSG00000004660"	135.924567656824	-1.20649545118902	0.300678882776149	-4.01257128551738	6.00609332828552e-05	0.000368615935838065	"CAMKK1"
"29"	"ENSG00000004700"	1217.85769841839	0.381712550668432	0.151652411217576	2.51702262828376	0.0118351227856596	0.0369823856054939	"RECQL"
"30"	"ENSG00000004838"	8.37057135254968	-1.05400761305827	0.643472990993815	-1.63799821874482	0.101422065361706	0.215593827285687	"ZMYND10"
"31"	"ENSG00000004864"	5161.70580790103	-0.834304032517054	0.115128734575376	-7.2467054866379	4.27031118263247e-13	1.02445396351823e-11	"SLC25A13"
"32"	"ENSG00000004866"	174.086396002809	1.47519340667081	0.314271541802991	4.69400887591523	2.67902401320253e-06	2.25853995825288e-05	"ST7"
"33"	"ENSG00000004897"	1592.08908785101	0.505400290785087	0.139839558576361	3.61414392272347	0.000301341644047163	0.00154528756411945	"CDC27"
"34"	"ENSG00000004948"	967.851316075149	0.296776732970798	0.168191642301415	1.76451534041713	0.0776452549219266	0.174174293629564	"CALCR"
"35"	"ENSG00000004961"	590.158130111572	0.601740650464443	0.179397795447877	3.35422544609404	0.000795874902965024	0.0036333824958422	"HCCS"
"36"	"ENSG00000004975"	2020.36698965877	-0.6358095634421	0.133136486167733	-4.77562223357069	1.79152429776912e-06	1.58487253953417e-05	"DVL2"
