"rn"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hgnc_symbol"
"1"	"ENSG00000000457"	813.842042498866	-0.277605304982439	0.0922030133408759	-3.0108051236474	0.00260556016876119	0.00874194134756565	"SCYL3"
"2"	"ENSG00000000971"	10.4945409315411	0.826856381948955	0.258470796323538	3.19903212939363	0.00137889800700201	0.00492155620157707	"CFH"
"3"	"ENSG00000001084"	7720.65058325367	0.261979922019956	0.0450002217720354	5.82174735375991	5.82355363465152e-09	4.51218727627396e-08	"GCLC"
"4"	"ENSG00000001460"	486.479788070749	0.378439645361647	0.112226461845732	3.37210706938134	0.00074595442955859	0.00281339786826763	"STPG1"
"5"	"ENSG00000001461"	2841.56391490278	0.267365930376649	0.0568797613156696	4.70054592692169	2.59466890511063e-06	1.44483073649051e-05	"NIPAL3"
"6"	"ENSG00000001561"	2727.39748804386	0.239320281776106	0.0602899042897917	3.96949181783041	7.2026079964052e-05	0.000322647931451007	"ENPP4"
"7"	"ENSG00000001626"	18638.9267950133	-0.655294983024661	0.0432128884219334	-15.1643411712339	6.09069907798883e-52	5.29732619808977e-50	"CFTR"
"8"	"ENSG00000001629"	4064.74998392752	-0.567035378935736	0.0522348220005546	-10.8555051442449	1.8776571983155e-27	5.6473070017001e-26	"ANKIB1"
"9"	"ENSG00000001630"	915.965552059584	-0.345335310262317	0.183203154827265	-1.88498560839697	0.0594317808583077	0.135072840409984	"CYP51A1"
"10"	"ENSG00000001631"	2407.22238092627	-0.107736268125673	0.0603346628844777	-1.78564465226158	0.0741568122046378	0.16201440996122	"KRIT1"
"11"	"ENSG00000002016"	1359.37138378824	0.278976209443271	0.0763130711152433	3.65568054549893	0.000256500609900243	0.00104721677575813	"RAD52"
"12"	"ENSG00000002330"	342.2677519776	-0.360525071951767	0.145292760089382	-2.48136983377545	0.0130878501778732	0.0368635914655335	"BAD"
"13"	"ENSG00000002549"	10488.6570048003	0.124300211814313	0.0408550305636175	3.04247017073598	0.00234645072110731	0.00796326713475795	"LAP3"
"14"	"ENSG00000002586"	2505.80657468086	-0.270225804942531	0.061882978414578	-4.36672267343346	1.26124700618443e-05	6.36036987983219e-05	"CD99"
"15"	"ENSG00000002745"	19.5443867358503	0.675546453627476	0.275888430548253	2.44862190228496	0.0143403894844149	0.0399269353009119	"WNT16"
"16"	"ENSG00000002822"	860.523693434974	-0.831489856003736	0.0943833375108039	-8.80971025111881	1.25469746970483e-18	2.18820545693053e-17	"MAD1L1"
"17"	"ENSG00000002919"	1304.03490721053	0.299524006319972	0.078170746296225	3.83166364032061	0.000127279673631103	0.000547692422986183	"SNX11"
"18"	"ENSG00000002933"	10.9851347047485	-0.378318235087794	0.262625327536759	-1.44052456263893	0.149719045887978	0.285037937168138	"TMEM176A"
"19"	"ENSG00000003137"	98.595500490202	-0.588952687794076	0.214359893884503	-2.74749477209297	0.00600524662632758	0.0185076560775499	"CYP26B1"
"20"	"ENSG00000003147"	2373.84074584195	-0.492765419706159	0.0618532028209323	-7.96669205849754	1.62978112482536e-15	2.26213338634126e-14	"ICA1"
"21"	"ENSG00000003249"	338.82744229339	-0.514612425614822	0.143266704799983	-3.59198898539115	0.000328163723331353	0.0013191551351441	"DBNDD1"
"22"	"ENSG00000003393"	3359.12263313314	0.658758415554042	0.0558846698573261	11.7878197587255	4.51067102646169e-32	1.71961843629301e-30	"ALS2"
"23"	"ENSG00000003400"	1843.23095991655	0.91538336920324	0.0705878138471888	12.9680084891834	1.8579508262819e-38	9.54682609995645e-37	"CASP10"
"24"	"ENSG00000003402"	2500.81918018771	0.175152229266376	0.063153155363321	2.77345175009423	0.00554650647617956	0.0172553207824285	"CFLAR"
"25"	"ENSG00000003509"	1911.70425801663	0.212792026459665	0.0647885637940107	3.28440721631394	0.00102197142073106	0.0037536431104036	"NDUFAF7"
"26"	"ENSG00000003987"	76.2132953357167	-0.467755035969123	0.230507141222379	-2.02924314400247	0.042433531158015	0.101782754003135	"MTMR7"
"27"	"ENSG00000003989"	515.512368145473	-0.374546931621242	0.117364548339032	-3.19131234194576	0.00141628081116003	0.00503530309272983	"SLC7A2"
"28"	"ENSG00000004059"	3687.99886969703	-0.103370927058258	0.0533977469405742	-1.93586682923716	0.0528840133064449	0.1226647765854	"ARF5"
"29"	"ENSG00000004139"	274.834828427877	-0.25107056026477	0.142550083868498	-1.76127963906624	0.0781910844850301	0.169537780961444	"SARM1"
"30"	"ENSG00000004399"	258.949902422629	-0.484829358791542	0.151745069178482	-3.19502545562972	0.00139818507763259	0.00498154573412244	"PLXND1"
"31"	"ENSG00000004455"	14824.4013382144	-0.268567906075324	0.0381683235540611	-7.03640823246868	1.97258460301165e-12	2.12158443571237e-11	"AK2"
"32"	"ENSG00000004487"	16550.0459292421	-0.0768430466380509	0.036457993484116	-2.10771464072837	0.0350556801263823	0.0865215393490801	"KDM1A"
"33"	"ENSG00000004534"	3136.01846511573	-0.476531735275055	0.0562053501322899	-8.47840524351236	2.28301570285743e-17	3.61450500284544e-16	"RBM6"
"34"	"ENSG00000004660"	956.010569434797	-0.445475097760171	0.0965143173517345	-4.61563745135027	3.91890564385537e-06	2.13836863907383e-05	"CAMKK1"
"35"	"ENSG00000004766"	2017.09763177899	-0.65939067549546	0.0698751959611478	-9.43669161031185	3.84735321097289e-21	8.0267054373475e-20	"VPS50"
